freq,indic_et,sitc06,partner,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,MIO_EXP_VAL,TOTAL,EXT_EU27_2020,SK	13866.3 	13422.6 	13491.7 	13927.0 	14262.0 	15064.5 	16029.6 	15855.6 	17122.8 	20554.1 	24602.4 	23674.5 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,AT	34311.1 	34113.3 	35135.8 	33965.8 	37831.0 	39731.5 	39288.7 	34868.8 	43879.5 	55362.8 	51083.9 	42549.3 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,BE	132139.8 	136307.4 	143210.3 	140520.9 	146248.5 	154315.6 	153639.7 	133101.2 	164738.8 	246060.4 	199082.5 	178884.8 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,BG	10787.4 	10450.3 	9875.4 	9380.2 	11357.6 	12171.1 	13066.8 	11944.5 	15438.1 	24696.0 	19905.9 	21269.5 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,CY	1714.5 	2512.0 	2851.5 	2780.5 	3703.4 	4494.2 	3324.4 	3230.5 	3093.1 	4581.8 	5561.0 	5012.5 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,CZ	27796.9 	29203.5 	32298.5 	31104.1 	35771.1 	40251.1 	41628.9 	40533.5 	47083.1 	62982.6 	58274.5 	61237.9 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,DE	354780.5 	353607.3 	366360.3 	360662.5 	388945.7 	405650.2 	406979.9 	378449.5 	437236.7 	588297.0 	473217.0 	453905.5 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,DK	25792.5 	26439.8 	27045.0 	25373.7 	28123.5 	29260.4 	29220.9 	26672.4 	32554.5 	41274.6 	35467.9 	38402.1 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,EE	3077.7 	2951.4 	2758.5 	2801.6 	3173.1 	4222.1 	3892.0 	3760.3 	5585.9 	5524.9 	3141.4 	3271.8 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,EL	24792.6 	24637.8 	20358.6 	19391.9 	22354.4 	27030.7 	27160.9 	20978.8 	31632.2 	53274.0 	40878.5 	41139.6 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,ES	125171.4 	127180.6 	124242.3 	119474.1 	138129.0 	148903.3 	151023.7 	123402.8 	161318.4 	232738.3 	193449.0 	193093.1 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,EU27_2020	1630762.5 	1625384.3 	1648094.6 	1602429.3 	1772057.8 	1911206.5 	1940923.4 	1715369.0 	2123847.4 	3006369.9 	2522576.3 	2437147.4 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,FI	21551.8 	20233.6 	16493.1 	16546.5 	19446.3 	21587.8 	20446.8 	16960.0 	22093.4 	31499.6 	22717.5 	21620.8 
